timestamp,wind_speed_avg_ms,active_power_avg_kw
2021/1/1 00:00,6.204656243324281,-1.338018031
2021/1/1 00:10,5.858887553215028,-2.593343498
2021/1/1 00:20,6.069037508964539,-1.31934552
2021/1/1 00:30,5.918868708610535,-1.11874953
2021/1/1 00:40,5.408306193351746,-2.80034155
2021/1/1 00:50,5.586168789863587,-1.663453043
2021/1/1 01:00,5.628958304723104,-2.16304618
2021/1/1 01:10,5.722087454795839,-2.196419522
2021/1/1 01:20,5.302049983,-1.368961021
2021/1/1 01:30,5.434406232833862,-1.245722515
2021/1/1 01:40,5.625393700599671,-2.40768556
2021/1/1 01:50,6.0530437469482425,-0.985374535
2021/1/1 02:00,6.054513153276946,-2.008206323
2021/1/1 02:10,5.928600049,-2.523455028
2021/1/1 02:20,5.850300097465515,-1.264928527
2021/1/1 02:30,6.389962482452392,-1.369494535
2021/1/1 02:40,6.308793855,-2.246568521
2021/1/1 02:50,6.713962650299072,-2.463169526
2021/1/1 03:00,6.837088192210477,-2.349910602
2021/1/1 03:10,6.240262603759766,-1.993156032
2021/1/1 03:20,5.912006258964538,-1.611170019
2021/1/1 03:30,5.325524926185609,-1.322013018
2021/1/1 03:40,4.728618776798248,-2.816880053
2021/1/1 03:50,5.194068813323973,-1.947808516
2021/1/1 04:00,5.079618668556213,-1.312410025
2021/1/1 04:10,4.866600000858307,-2.331395033
2021/1/1 04:20,4.540125012397766,-1.62077302
2021/1/1 04:30,4.533993721008302,-1.863515525
2021/1/1 04:40,5.834137511253357,-2.376742525
2021/1/1 04:50,5.649356317520141,-1.229184031
2021/1/1 05:00,6.185325098,-1.792560025
2021/1/1 05:10,6.045637440681459,-2.664832518
2021/1/1 05:20,5.834774994850159,-1.554085526
2021/1/1 05:30,5.989368796348571,-1.261194013
2021/1/1 05:40,5.886206209659577,-2.921979511
2021/1/1 05:50,6.329418826,-1.51140551
2021/1/1 06:00,6.377999973297119,-1.15609452
2021/1/1 06:10,6.424349904060364,-2.132933029
2021/1/1 06:20,6.1067063331604015,-1.711468042
2021/1/1 06:30,5.9739749908447255,-1.277199011
2021/1/1 06:40,6.188493752479554,-4.024724054
2021/1/1 06:50,6.463650083541872,-2.255104536
2021/1/1 07:00,6.356999945640565,-2.210290515
2021/1/1 07:10,6.583349990844726,-3.898284537
2021/1/1 07:20,6.802631258964539,-1.845910043
2021/1/1 07:30,6.054168772697449,-1.482063015
2021/1/1 07:40,5.659200143814088,-3.160987556
2021/1/1 07:50,5.979731297492981,-1.359358022
2021/1/1 08:00,6.275051425,-1.960769443
2021/1/1 08:10,6.001574945449829,-2.324993043
2021/1/1 08:20,5.002950048446655,-1.091541006
2021/1/1 08:30,5.370337486267089,-1.309209029
2021/1/1 08:40,5.648550033569336,-2.411420025
2021/1/1 08:50,6.122737479209899,-1.436715529
2021/1/1 09:00,6.389381265640258,-0.942161028
2021/1/1 09:10,6.536568665504456,-2.452499518
2021/1/1 09:20,6.681993746757508,-0.878141014
